GJAHR,PERIO,WERKS,LGORT,BERID,MATNR,DIBER,MAKTX,NCENTRO,VERPR,PVPRS_2,MEINS,ATWRT_CLS_LG,ATWTB_CLS_LG,MTART,DISMM,PRDHA,BEZEI40_J,MSTAE,MTSTB,MMSTA,MTSTB_C,MINBE,EISBE,EISLO,BSTFE,DISLS,BSTMI,BSTMA,MABST,RDPRF,BSTRF,MAABC,FXHOR,DISPO,BESKZ,SOBSL,WEBAZ,PLIFZ,BZTEK,LGRAD,RWPRO,MTVFP,DISKZ,DISKT,LSOBS,LMINB,LBSTF,UO,ZLOCAL,MATKL,WGBEZ,DISGR,TEXT40,LOSFX,LAGPR,FHORI,ZONA,ESC_PLANIF,FECH_INI,FECH_FIN,FLG_ESC
2020,08,TMAT,L001,TMAT-PLANI,000000000031008630,X,ARRANCADOR P/FLUORESCENTE 20W 220V,MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-FER99,VARIOS-FERRETERIA,BRT,,0,,,,,,,
2020,08,TMAT,L001,TMAT-PLANI,000000000031008166,X,"ABRAZADERA REGULABLE INOX 3/4""",MATARANI,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-FER11,"SUJETADORE, ABRAZ, C",BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033040357,X,FAJA V B-75,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC04,FAJAS Y ACCESORIOS,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033039767,X,"VALV. COMPUERTA 2"" NPT 125 PSI BCE.",TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC08,VALVULAS (RPTO.MEC.),BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033036908,X,RETEN 85 X 110 X 12 DOBLE LABIO,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC03,"SELLOS , RETEN Y ANI",BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033035401,X,O'RING 1-1616-01-K3 VITON,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC17,MOTORES DE EXPLOSIÓN,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033032440,X,FAJA 5V950,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC04,FAJAS Y ACCESORIOS,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033029544,X,ACOPLAMIENTO OMEGA E5,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC13,ACOPLES Y CRUCETAS,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000033032584,X,FAJA V 9.5 X 1175,TASA CALLAO NORTE,0,0,ST,,,ZRPG,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,RPG-MEC04,FAJAS Y ACCESORIOS,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032005529,X,CD GRABABLE 650/700 MB.,TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-OFI01,UTILES OFICINA,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032005514,X,"VENDA ELASTICA 6"" X 5 YDS.",TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-HAB05,MATERIAL MEDICO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032005271,X,TERMOMETRO CLINICO DE MERCURIO,TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-HAB05,MATERIAL MEDICO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032005147,X,SILVERDIAZINA CREMA X 30 GRS,TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-HAB05,MATERIAL MEDICO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032004968,X,POST IT BANDERITAS (COLORES),TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-OFI01,UTILES OFICINA,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032004630,X,"MAMELUCO DRILL BEIGE M/LARGA C/LOGO  ""S""",TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-SEG03,ROPA DE TRABAJO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032004432,X,HIOSCINA BUTILBROMURO 10 MG,TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-HAB05,MATERIAL MEDICO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000032003565,X,BISMUTOL 262 MG. (TB MASTICABLES),TASA CALLAO NORTE,0,0,ST,,,ZDIV,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,DIV-HAB05,MATERIAL MEDICO,BRT,,0,,,,,,,
2020,08,TCNO,L001,TCNO-PLANI,000000000031014058,X,"TAPON MACHO 1/2"" GALV.",TASA CALLAO NORTE,0,0,ST,,,ZAUX,ND,,,,,,,0,0,0,0,,0,0,0,,0,,000,,F,,0,23,00,0,,02,,0,,0,0,Logística,,AUX-FER13,TAPONES,BRT,,0,,,,,,,
