MANDT,WERKS,MATNR,BERID,LGORT,MAKTX,MEINS,MMSTA,MSTAE,DISGR,EISBE,MINBE,DISLS,BSTMI,DISMM,MATKL,WGBEZ,ENDSTOCK,ENDVAL,CLASF,ENMNG,STOCK,PRECIO_UNITARIO,CONSMX1,CONSMX2,CONSMX3,CONSMX4,CONSMX5,CONSMX6,ZCOBACT,ZRANCOB,ZSTOOPT,ZSTOOPTVAL,ZSTOOPTCOBD,ZRANCOB_SO,ZSIM01,ZSIM02,ZSIM03,ZSIM04,ZSIM05,ZSIM06,ZSIMV01,ZSIMV02,ZSIMV03,ZSIMV04,ZSIMV05,ZSIMV06,ZRANCOBCOR,ZRIESVAL,MABST,BSTMA,BSTFE,BSTRF
600,TAST,000000000020000628                      ,TAST-PLANI,L001,"STRETCH FILM 18"" X 20 MICRAS X 241 MT",KG,,,ART,0,0,,0,ND,LEE-ENV05,LAMINAS,0,0,UIN,0,0,7.08,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000020000662                      ,TAST-PLANI,L001,PRECINTO SEGURIDAD DE POLIP PG 2 X 25 CM,ST,,,BRT,13.974,14.296,,19.333,ND,LEE-EMB99,VARIOS-EMBALAJE,0,0,UIN,0,0,0.29,0,0,0,0,0,0,0,[00 - 30],23.641,6.856,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-6.856,0,0,0,0
600,TAST,000000000030000375                      ,TAST-PLANI,L001,ACEITE MOBIL M-ATF 220 BALDE X 5 GLN,GLL,,,BRT,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,25.6,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000376                      ,TAST-PLANI,L001,ACEITE MOBIL M-DEL 1240 CIL X 55 GLN,GLL,,,ART,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,21.55,0,0,0,0,0,0,0,[00 - 30],82.5,1777.875,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1777.875,0,0,0,55
600,TAST,000000000030000377                      ,TAST-PLANI,L001,ACEITE MOBIL M-DEL MX 15W40 X 55 GLN,GLL,,,BRT,770,935,,1320,ND,COM-LUB01,ACEITES,5,30.52,UIN,10,0,20.93,15,0,0,0,0,0,0,[00 - 30],1430,29929.9,17160,[60 - 90],0.083,2.5,2.5,5,5,7.5,1.737,52.325,52.325,104.65,104.65,156.975,[60 - 90],-29899.38,0,0,0,55
600,TAST,000000000030000380                      ,TAST-PLANI,L001,ACEITE MOBIL M-GARGOYLE ARC 300 X 55 GLN,GLL,,,ART,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,62.74,0,0,0,0,0,0,0,[00 - 30],82.5,5176.05,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-5176.05,0,0,0,55
600,TAST,000000000030000382                      ,TAST-PLANI,L001,ACEITE MOBIL M-MOBILGARD 312 X 55 GLN,GLL,,,BRT,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,20.53,0,0,0,0,0,0,0,[00 - 30],82.5,1693.725,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1693.725,0,0,0,55
600,TAST,000000000030000383                      ,TAST-PLANI,L001,ACEITE MOBIL M-MOBILGARD 412 X 55 GLN,GLL,,,BRT,55,110,,55,ND,COM-LUB01,ACEITES,10,61.2,UIN,0,10,20.99,0,0,0,0,0,0,0,[00 - 30],82.5,1731.675,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1670.475,0,0,0,55
600,TAST,000000000030000384                      ,TAST-PLANI,L001,ACEITE MOBIL MOBILGEAR 600 XP 220 X55GLN,GLL,,,ART,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,21.35,0,0,0,0,0,0,0,[00 - 30],82.5,1761.375,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1761.375,0,0,0,55
600,TAST,000000000030000385                      ,TAST-PLANI,L001,ACEITE MOBIL MOBILGEAR 600 XP 320 X55GLN,GLL,,,ART,110,165,,495,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,22.09,0,0,0,0,0,0,0,[00 - 30],357.5,7897.175,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-7897.175,0,0,0,55
600,TAST,000000000030000387                      ,TAST-PLANI,L001,ACEITE MOBIL MOBILGEAR 600 XP 68 X55 GLN,GLL,,,ART,55,110,,55,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,20.53,0,0,0,0,0,0,0,[00 - 30],82.5,1693.725,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],-1693.725,0,0,0,55
600,TAST,000000000030000388                      ,TAST-PLANI,L001,ACEITE MOBIL MOBILGEAR 600 XP 680X55 GLN,GLL,,,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,29.18,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000389                      ,TAST-PLANI,L001,ACEITE MOBIL M-OUTBOARD PLUS CJ X12B,ST,,,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,131.94,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000414                      ,TAST-PLANI,L001,ACEITE SHELL GADINIA 40 A:226886,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,22.93,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000415                      ,TAST-PLANI,L001,ACEITE SHELL GADINIA AL 30 A:226887,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,22.98,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,0
600,TAST,000000000030000421                      ,TAST-PLANI,L001,ACEITE SHELL OMALA S2 G 220 A:226904,GLL,,Z7,BRT,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,26.37,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000422                      ,TAST-PLANI,L001,ACEITE SHELL OMALA S2 G 320 A:226903,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,23.53,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000425                      ,TAST-PLANI,L001,ACEITE SHELL OMALA S2 G 680 A:226905,GLL,,Z7,BRT,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,32.94,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
600,TAST,000000000030000429                      ,TAST-PLANI,L001,ACEITE SHELL RIMULA R4 X 15W-40 A:226897,GLL,,Z7,ART,0,0,,0,ND,COM-LUB01,ACEITES,0,0,UIN,0,0,32.79,0,0,0,0,0,0,0,[00 - 30],0,0,0,[00 - 30],0,0,0,0,0,0,0,0,0,0,0,0,[00 - 30],0,0,0,0,55
