MANDT,BANFN,BNFPO,COND_PRIO,COND_LAST,KEY_WEEK,PRG_WEEK,PLAN_DAT,AREA_ASG,ASG_DAT,PROG_DAT,PSTYP_TX,PSTYP,KNTTP,ERNAM_TX,PRIONAM_TX,RANG_DAT,SCORE_DAT,BADAT,FRGKZ,FECHA_LIBERACION,DIAS_LIBERACION,LFDAT,PRIO_URGTX,ZZPRIO_URGTX,FRGDT,DIFF_DAT1,ZZEMBAR,MATKL,MATKL_TX,ZZSISTEMA,SCORE_SIS,BSART_TX,ASGAREA_TX,SCORE_TOT,ABC_PRIO,ZZTMANT,SCORE_TMAN,ZZTMANT_TX,ZZCAT_TX,SCORE_CAT,ZZCOMPLEJIDAD,SCORE_COM,ZZRIESGO,SCORE_RIE,DISGR,DISGR_TX,MATNR,TXZ01,OMENG,MEINS,PREI2,VPREIS,VPREI2,SCORE_VAL,WERKS,WERKS_TX,LGORT,LGORT_TX,MFRPN,MFRNR,FABRICANTE,CATEG_PR,RI_WERKS,RI_LIFNR,RI_LNAME,RI_DATLB,RI_EBELN,RI_EBELP,RI_PEINH,RI_NETPR,RI_WAERS,RI_NETP2,RI_APLFZ,K_TFLAG,K_KONNR,K_KTPNR,K_LIFNR,K_LNAME,K_EKGRP,LIFNR,LIFNR_TX,FLIEF,FLIEF_TX,TIMTRA,PLIFZ,LEADTM,WEBAZ,RSNUM,RSPOS,XWAOK,RS_RELDAYS,ZAFNAM,ERNAM,AFNAM,AFNAM_TX,SCORE_AFN,BEDNR,AREA,UO,DEPART,ZZORDTR,ZZDSIST,ZZDESEM,ZZMETRI,ZZMEINS,F_AEDAT,F_EBELN,F_EBELP,F_PARTN,F_ERNAM,F_REJEC,F_STREL,ST_DET,ST_FIN,DIF_PRG,DIAS_ATEN,FECHA_ASING_COMP,CATEGORIA_ASIGN,FECHA_ASIGN_CATE,CC_CATEG,CC_FMLA,CC_SUBFMLA,USUARIO_SOLIC
600,0070233576,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,BIEN,,,RPA Tipo4 B,RPA Tipo4 B,Del 7mo día al 13vo día,3,20251208,3,20251209,-1,20260102,01-Normal,,20251210,-5,,RPG-MEC17,MOTORES DE EXPLOSIÓN,,0,PLANIFICADO,COMPRAS,0.75,B,,0,,-,0,,0,,0,ART,Alta Rotación,000000000033044716,O-RING VITON 1-1818-03-A3,6,ST,7.43,150.24,44.58,3,TCNO,TASA CALLAO NORTE,L001,Alm. Materiales,1-1818-03-A3,,,,TCNO,0000029809,Everllence Peru S.A.C.,20241224,5010197776,00020,1,6.45,USD,6.45,0,Sin Contrato,,00000,,,,,,,,3,23,26,0,0000000000,0000,,0,,T621,T621,PLANIF_T621,0,,REPOSICION ALMACEN,ALMACEN,,,,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,24,00000000,MANTENIMIENTO,00000000,MATERIALES DE OPERACIÓN,REPUESTOS GENERALES,REPUESTOS DE MOTORES,T621
600,0020174242,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Más de 20 días,1,20251210,3,20251210,0,20260110,01-Normal,,20260109,25,T057,234,Serv. Mant. Maquinar,TF01057-0606-Sistema de Izaje de Red,0,NO PLANIFICADO,COMPRAS,1.55,C,MP,3,Preventivo,T01-Estándar / Coordinado con Logística,1,,0,,0,,,,PM T057 SH 1050C ORDENADOR DE RED IT 48,1,UA,23033.54,77600,23033.54,5,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2060338925,HYDRAULIC SUPPLY COMPANY S.A.C.,,,3,0,3,0,0000000000,0000,,0,MTAPIA,TASA_MAXIMO,TMF2,MANTTO IPRT_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,753275,Sistema de Izaje de Red,Ordenador de Red IT-NS48,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,31,00000000,MANTENIMIENTO,00000000,,,,MTAPIA
600,0020174337,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Vencido,3,20251210,3,20251215,-5,20251115,01-Normal,,20251114,-31,SFE4,234,Serv. Mant. Maquinar,SFE404-04-Bomba de Baldeo Chata FERROLES IV LN,0,NO PLANIFICADO,COMPRAS,2.25,B,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,MAQUINADO DE POLEA PARA NUEVA BOMBA DE B,1,UA,640.72,2158.6,640.72,3,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,0000040104,SOLUCIONES DE MANTENIMIENTO E INGEN S.A.C.,,,3,0,3,0,0000000000,0000,,0,GROBLES,TASA_MAXIMO,TMB4,MANTTO CORREC _CHI_TCHI,0,PLANTA,MANTENIMIENTO,PLANTA,,755399,Bomba de Baldeo Chata FERROLES IV LN,BOMBA CENTRIFUGA DE AGUA D6 LADO NORTE,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-30,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS MECÁNICOS,GROBLES
600,0020174241,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Más de 20 días,1,20251210,3,20251210,0,20260110,01-Normal,,20260109,25,T057,234,Serv. Mant. Maquinar,TF01057-0606-Sistema de Izaje de Red,0,NO PLANIFICADO,COMPRAS,1.55,C,MP,3,Preventivo,T01-Estándar / Coordinado con Logística,1,,0,,0,,,,PM T057 SH 1050C HALLADOR DE RED IT 56,1,UA,17275.16,58200,17275.16,5,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2060338925,HYDRAULIC SUPPLY COMPANY S.A.C.,,,3,0,3,0,0000000000,0000,,0,MTAPIA,TASA_MAXIMO,TMF2,MANTTO IPRT_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,753273,Sistema de Izaje de Red,Halador de Red IT-NW56,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,31,00000000,MANTENIMIENTO,00000000,,,,MTAPIA
600,0020175363,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20251217,3,20251219,-2,20251211,01-Normal,,20251211,-4,T053,206,Serv. Equipos Hidráu,TF0153-0612-Sistema de Bombeo Auxiliar,0,NO PLANIFICADO,COMPRAS,2.25,B,EM,1,Correctivo Emergencia,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,T053 SH Montaje de bomba triple RSW.-251,1,UA,525,1771.35,525,3,TMSU,MALABRIGO SUR,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2060543789,HYDRAULICA TECNICA MARINA S.A.C.,,,3,0,3,0,0000000000,0000,,0,JEREYNA,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,758019,Sistema de Bombeo Auxiliar,Sistema de Bombeo Auxiliar,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-8,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,JEREYNA
600,0020175416,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20251217,3,20251219,-2,20251214,01-Normal,,20251212,-3,T218,206,Serv. Equipos Hidráu,TF01218-0701-07-Achique de Sala de máquinas (NO USAR),0,NO PLANIFICADO,COMPRAS,2.25,B,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,T218 Cambio válvula sist. achique,1,UA,121.52,410,121.52,3,TPSU,PISCO SUR,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2056299793,BAMEC E.I.R.L.,,,3,0,3,0,0000000000,0000,,0,VIHUAMAN,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,756486,Achique de Sala de máquinas (NO USAR),,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-5,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,VIHUAMAN
600,0020175227,00020,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Más de 20 días,1,20251216,3,20251217,-1,20260208,01-Normal,,20260206,53,TMAT,234,Serv. Mant. Maquinar,TMAT0103-Recup. Trat. Agua de Bombeo,0,NO PLANIFICADO,COMPRAS,1.05,C,MP,3,Preventivo,T01-Estándar / Coordinado con Logística,1,,0,,0,,,,Calibrac.Inst.Analític Phmetro (6M),1,UA,662.94,2237.42,662.94,3,TMAT,MATARANI,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,,,,,3,0,3,0,0000000000,0000,,0,FGARAY,TASA_MAXIMO,TMR1,MANTTO PLANIF_CHI_TMAT,0,PLANTA,MANTENIMIENTO,PLANTA,,757979,Recup. Trat. Agua de Bombeo,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,53,00000000,MANTENIMIENTO,00000000,,,,FGARAY
600,0020175441,00020,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.RMiranda,Comp.RMiranda,Vencido,3,20251217,3,20251219,-2,20251213,01-Normal,,20251212,-3,T427,234,Serv. Mant. Maquinar,TF01427-0707-Sistema de Aire Comprimido,0,NO PLANIFICADO,COMPRAS,2.25,B,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,T427 SA Suministro de acoplamiento de mo,1,UA,236.58,798.22,236.58,3,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,2050356248,FACTORIA SANTA ISOLINA SOCIEDAD ANO CERRADA FACTORIA SANTA ISOLINA S.A.,,,3,0,3,0,0000000000,0000,,0,JEREYNA,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,,756258,Sistema de Aire Comprimido,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-6,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MECANIZADO,JEREYNA
600,1038813543,00040,PRIORIZADO,NUEVO,20251215,20251215,20251220,PLANIFICACIÓN,Lunes,20251215,BIEN,,,,,Vencido,3,20251208,3,20251210,-2,20251207,03-Emergencia,,20251128,-17,TCHI,AUX-FER06,"PERNO, TUERC Y ARAND",1050605-Transp. Alimentador a Distrib. de Rotadi,0,NO PLANIFICADO,PLANIFICACIÓN,0,B,MCP,2,Correctivo Programado,REG-Regularización,0,,0,,0,UIN,Uso Inmediato,000000000031013522,"PRISIONERO ALLEN FEN.3/8""X1""",4,ST,0.13,1.76,0.52,0,TCHI,CHIMBOTE,L001,Alm. Materiales,,,,,TSAM,2052320186,INTERMETALS R & D S.A.C.,20250109,5060072222,00040,1,0.45,PEN,0.12,0,Con Contrato,5000000937,04020,2052320186,INTERMETALS R & D S.A.C.,T78,,,,,3,10,13,0,0039042368,0002,X,0,MLEZAMA,JADANAQUE,TMB4,MANTTO CORREC _CHI_TCHI,0,PLANTA,MANTENIMIENTO,PLANTA,,754466,Transp. Alimentador a Distrib. de Rotadi,,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-3,00000000,OPERACIONES DE COMPRAS,00000000,MATERIALES DE OPERACIÓN,FERRETERÍA,ELEMENTOS DE SUJECIÓN,MLEZAMA
600,0020174081,00010,PRIORIZADO,NUEVO,20251215,20251215,20251220,COMPRAS,Lunes,20251215,SERVICIO,F,F,Comp.DHinostroza,Comp.DHinostroza,Vencido,3,20251206,3,20251218,-12,20251206,01-Normal,,20251206,-9,T022,206,Serv. Equipos Hidráu,TF0122-0601-Winche Principal,0,NO PLANIFICADO,COMPRAS,2.25,B,MCP,2,Correctivo Programado,T04-Regularización / Sin Coordinación Log.,5,,0,,0,,,,perforar eje para punto de lubricación e,1,UA,644.11,2170,644.11,3,TCHI,CHIMBOTE,,,,,,,,,,00000000,,00000,0,0,,0,0,Sin Contrato,,00000,,,,0000012578,FMREM S.R.L.,,,3,0,3,0,0000000000,0000,,0,DDELGADO,TASA_MAXIMO,TMF1,MANTTO CCCM_PESCA,0,PESCA,MANTENIMIENTO,PESCA,ADMIN.CENTRAL CALLAO,754539,Winche Principal,Winche de Combinación IT-15,0,,00000000,,00000,,,,,PENDIENTE,PENDIENTE,0,-12,00000000,OPERACIONES DE COMPRAS,00000000,MANTENIMIENTO,SERVICIOS DE MANTENIMIENTO,MANTO DE EQUIPOS HIDRÁULICOS,DDELGADO
