MANDT,BANFN,BNFPO,MATNR,MAKTX,MENGE,MEINS,BADAT,LFDAT,AFNAM,ERNAM,BLCKD,USERNAMEB,UDATEB,LOEKZ,USERNAMEL,UDATEL,FRGKZ,UDATEF,UTIMEF,FRGCX,FRGCT,OBJID,BUKRS,BUTXT,BSART,BATXT,EBELN,LIFNR,NAMEL,BEDAT,WAERS,FRGZU,UDATEHES,USRNAMEHES,EBELP,PSTYP,WERKS,MENGE_P,WEMNG,NETPR,RLWRT,NETWR,EINDT,BELNR,GJAHR,BUZEI,TXZ01,AENAM,ERDAT,BUDAT,BPMNG,WRBTR_EK,KNTTP,IMP_HES,IMP_HES2,UDATE,USERNAME,BELNR_AN,GJAHR_AN,BUDAT_AN,WRBTR_AN,BELNR_RS,GJAHR_RS,BUKRS_RS,BELNR_BK,BLART_BK,XBLNR_BK,CPUDT_BK,BUDAT_BK,BKTXT_BK,ZTERM,ZLSCH,ZFBDT,ZFBDF,AUGBL,AUGCP,AUGDT,WRBTR,PSWSL,DMBTR,KIDNO,KOSTL,TIP_REG
600,0016933053,00010,000000000031008359,,1,UN,2020-06-01T00:00:00.000Z,2020-06-07T00:00:00.000Z,TMF1,OCORAL,,,,,,,3,2020-06-01T00:00:00.000Z,135212,SA,Flota Control Mantto,JURAMOS,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004929,2010167094,FERRETERIA FIGALLO S.R.L.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00150,0,TCHI,1,1,486.57,6877.3,486.57,2020-06-05T00:00:00.000Z,,0000,000,"AMOLADORA ANGULAR 7""",,,,0,0,,,,,,5000066734,2020,2020-06-08T00:00:00.000Z,486.57,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016932765,00010,000000000031014874,,2,UN,2020-05-31T00:00:00.000Z,2020-06-04T00:00:00.000Z,T021,ALFERNANDEZ,,,,,,,3,2020-06-01T00:00:00.000Z,074217,SM,TMSU_Mal Proyecto,EMARENGO,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004931,2012291388,VANECO E.I.R.L.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00020,0,TMSU,2,2,18.91,1816.32,37.82,2020-06-05T00:00:00.000Z,,0000,000,"UNION UNIVERSAL 2"" GALV. ROSC.",,,,0,0,,,,,,5000066800,2020,2020-06-08T00:00:00.000Z,37.82,5105613988,2020,TA10,0035030034,01,01-0F001-0007627,2020-06-19T00:00:00.000Z,2020-06-19T00:00:00.000Z,"VALV. ESFERA 1/2"" 150 PSI",Z060,,2020-06-19T00:00:00.000Z,2020-08-18T00:00:00.000Z,,,,2143.26,PEN,2143.26,CSN1313000170624,,MM
600,0016931719,00010,000000000033032609,,8,UN,2020-05-30T00:00:00.000Z,2020-05-30T00:00:00.000Z,TMF1,FTRUJILLO,,,,,,,3,2020-05-30T00:00:00.000Z,095548,SA,Flota Control Mantto,JURAMOS,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00110,0,TCNO,8,8,2.96,1460.45,23.68,2020-06-05T00:00:00.000Z,,0000,000,FAJA V A-55,,,,0,0,,,,,,5000070025,2020,2020-06-12T00:00:00.000Z,23.68,5105616090,2020,TA10,0035031979,01,01-0FL02-0093805,2020-07-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,CHUMACERA PARED FY 513 M,Z090,,2020-07-01T00:00:00.000Z,2020-09-29T00:00:00.000Z,,,,1507.44,USD,5303.17,CSN1313000173486,,MM
600,0016931720,00020,000000000031011835,,3,UN,2020-05-30T00:00:00.000Z,2020-06-19T00:00:00.000Z,T021,EMURGUEYTIO,,,,,,,3,2020-05-30T00:00:00.000Z,121559,SM,TMSU_Mal Proyecto,EMARENGO,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004944,2050314138,ELECTRO FERRO CENTRO S.A.C.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00010,0,TMSU,3,0,14.08,42.24,42.24,2020-06-19T00:00:00.000Z,,0000,000,"EMBUDO PLASTICO 5"" A  1/2""",,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016931873,00010,000000000032005448,,12,UN,2020-05-30T00:00:00.000Z,2020-06-12T00:00:00.000Z,T021,EMURGUEYTIO,,,,,,,3,2020-05-30T00:00:00.000Z,181215,SM,TMSU_Mal Proyecto,EMARENGO,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004949,2051191412,SOLTRAK S.A.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00060,0,TMSU,12,12,24.39,8627.48,292.68,2020-06-08T00:00:00.000Z,,0000,000,LENTE SEG POLICAR. C/ELASTICO,,,,0,0,,,,,,5000069873,2020,2020-06-12T00:00:00.000Z,292.68,5105615233,2020,TA10,0035030911,01,01-0F129-0067330,2020-06-25T00:00:00.000Z,2020-06-25T00:00:00.000Z,LENTE SEG POLICAR. C/ELAS,Z090,,2020-06-25T00:00:00.000Z,2020-09-23T00:00:00.000Z,,,,345.36,PEN,345.36,CSN1313000172935,,MM
600,0016921354,00010,000000000033031077,,1,UN,2020-05-29T00:00:00.000Z,2020-06-02T00:00:00.000Z,TMS1,EBAZAN,,,,,,,3,2020-05-31T00:00:00.000Z,082135,SZ,TSAM_Sam Man Planif,CPERALTA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004928,2010024471,TECNIFAJAS S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00100,0,TSAM,1,1,60.13,1460.45,60.13,2020-06-05T00:00:00.000Z,,0000,000,CHUMACERA PARED FY 513 M,,,,0,0,,,,,,5000069932,2020,2020-06-12T00:00:00.000Z,60.13,5105616090,2020,TA10,0035031979,01,01-0FL02-0093805,2020-07-01T00:00:00.000Z,2020-07-01T00:00:00.000Z,CHUMACERA PARED FY 513 M,Z090,,2020-07-01T00:00:00.000Z,2020-09-29T00:00:00.000Z,,,,1507.44,USD,5303.17,CSN1313000173486,,MM
600,0016921318,00010,000000000033042684,,100,M,2020-05-29T00:00:00.000Z,2020-05-29T00:00:00.000Z,T021,DMONTES,,,,,,,3,2020-05-29T00:00:00.000Z,195443,SV,TVEG_Veg Proyecto,JRIVERA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004930,2011174043,SONEPAR PERU S.A.C.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00070,0,TVEG,100,100,3.27,19257.31,327,2020-06-05T00:00:00.000Z,,0000,000,CABLE VULCANIZADO NMT 3 X 14AWG,,,,0,0,,,,,,5000067750,2020,2020-06-09T00:00:00.000Z,327,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0070015822,00010,000000000032003996,,11,ROL,2020-05-29T00:00:00.000Z,2020-05-29T00:00:00.000Z,T641,T641,,,,,,,3,2020-05-31T00:00:00.000Z,113001,LC,TCNO_Cal PlanHUBDist,ACASTANEDA,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004932,2013152900,SEKUR PERU S.A.,2020-06-01T00:00:00.000Z,USD,X,2020-06-04T00:00:00.000Z,MSILVA,00100,0,TCNO,11,11,8.67,104.04,95.37,2020-06-05T00:00:00.000Z,,0000,000,CINTA SEÑALIZACION AMARILLA 15CMX4 MICRA,,,,0,0,,,,,,5000076771,2020,2020-06-22T00:00:00.000Z,95.37,,0000,,,,,,,,,,,,,,,0,,0,,,MM
600,0016921336,00010,000000000031008165,,4,UN,2020-05-29T00:00:00.000Z,2020-05-19T00:00:00.000Z,TMF1,OCORAL,,,,,,,3,2020-05-29T00:00:00.000Z,124145,SA,Flota Control Mantto,JURAMOS,TA10,Tecnológica de Alimentos,ZDES,Pedido de Cont.Marco,5060004952,2052320186,INTERMETALS R & D S.A.C.,2020-06-01T00:00:00.000Z,PEN,X,2020-06-04T00:00:00.000Z,MSILVA,00030,0,TCHI,4,4,5.07,2147.13,20.28,2020-06-08T00:00:00.000Z,,0000,000,"ABRAZADERA REGULABLE INOX 3.1/2""",,,,0,0,,,,,,5000065357,2020,2020-06-05T00:00:00.000Z,20.28,5105611458,2020,TA10,0035028323,01,01-0E001-0001966,2020-06-10T00:00:00.000Z,2020-06-06T00:00:00.000Z,"PERNO HEXAGONAL 3/8"" X 1.",Z060,,2020-06-06T00:00:00.000Z,2020-08-05T00:00:00.000Z,,,,2533.61,PEN,2533.61,CSN1313000170090,,MM
600,0016921401,00010,000000000033031381,,1,UN,2020-05-29T00:00:00.000Z,2020-05-29T00:00:00.000Z,TMP1,FTRUJILLO,,,,,,,3,2020-05-29T00:00:00.000Z,191113,SN,TCNO_Cal Proy y Mant,NHUAMAN,TA10,Tecnológica de Alimentos,NB,Pedido estándar,5010020640,2012297688,GENIO COMERCIAL S.A.,2020-06-01T00:00:00.000Z,USD,XX,2020-06-04T00:00:00.000Z,JOLIVARES,00010,0,TCNO,1,0,5.5,91.29,5.5,2020-05-29T00:00:00.000Z,,0000,000,CONECTOR P/ELECTRODO IGNICION ANGULAR,,,,0,0,,,,,,,0000,,0,,0000,,,,,,,,,,,,,,,0,,0,,,MM
