MANDT,EBELN,EBELP,EXTROW,NROSERV,SERV_CAT,SERV_FAM,SERV_SUBFAM,EKGRP,EKNAM,PSTYP,BATXT,BEDAT,LIFNR,NAMEL,NAME1,ANTICIPO,KNTTP,PTEXT,BKLAS,BKBEZ,MATNR,TXZ01,MENGE,MEINS,EINDT,NETPR,WAERS,NETWR,WKURS,PEINH,MATKL,WGBEZ,ZTAG1,EKGRP2,EKNAM2,KTWRT2,BUKRS,BUTXT,WERKS,LGORT,ERNAM,ZTERM,F_PAGO,BEDNR,BANFN,BNFPO,BADAT,LFDAT,ZAFNAM,ERNAM_EBAN,WAERS_EBAN,PREIS,PREIS_USD,KBETR,KBETR_DESC,ZZPAIS_ORIG,ZZFECHA_EMBARQ,ZZFECHA_ARRIBO,SUBMI,ZZMEDIO_TRANSP,ZZAGENTE_CARGA,ZZNUMERO_DOC_EMB,ZZNUMERO_DUA,ZZAGENTE_ADUANA,ZZNUMERO_APL_SEG,ZZPEDIDO_CLIENTE,ZTIPANTIC,ZZTARIFA,TEXT_F23,ZZREASON_REJECT,ZZAG_ADUANA_DESC,REVNO,ZZESTAPROV_DESC,ZZMOTREPROV_DESC,RETENIDO,MED_TRANSP,DESCUENTO_SERV,BRTWR,BRTWR2,AFNAM,INCO1,NETWR_DOL,FRGSX,COD_LIB,BSART,FE_LIB1,DIAS_PEND,FE_LIB2,FE_LIB3,FE_LIB4,FE_LIBU,FRGET,OBJID,KONNR,KTPNR,KDATB,KDATE,FRGKE,ZZREQCONT,ZZTIECONT,ZZNCONTRA,ZZFECINIC,ZZFECFIN,ZZDIASEST,ZZCONTPER,ZZRCAFI,ZZTCAFI,ZZIDCAR,ZZFEINI,ZZFEFIN,F_MAIL,H_MAIL,TXT_CB,TXT_PS,STAT_ENV,ZCATEGORIA,PROCSTAT,FECING,MENING,WRBTR,WRBTR2,WRBTR3
600,4500096095,00050,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20231117,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Cambio Psje 09.12 ROCIO SUICO,1,UA,20240102,16,USD,16,3.772,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,16,16,T001,,16,02,"BD,",NB,20240124,0,,,,20240124,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240124,191605,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240124,1,16,16,0
600,4500096911,00010,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240301,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasj Lim-Aqp-Lima 17-22.03/Lizbeth Rosal,1,UA,20240523,58,USD,58,3.782,1,263,Serv. de Viajes,007,T02,Compras Delegadas,77.5,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,58,58,T001,,58,02,"BD,",NB,20240524,0,,,,20240524,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240524,114513,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240524,1,58,58,0
600,4500096911,00020,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240301,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,TUUA Lim-Aqp-Lima 17-22.03/Lizbeth Rosal,1,UA,20240524,19.5,USD,19.5,3.782,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,19.5,19.5,T001,,19.5,02,"BD,",NB,20240524,0,,,,20240524,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240524,114513,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240524,1,19.5,19.5,0
600,4500108125,00010,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240529,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasaj Lima-Arequiipa 03.06/Eugenia Quisp,1,UA,20240619,54,USD,54,3.75,1,263,Serv. de Viajes,007,T02,Compras Delegadas,151.97,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,54,54,T001,,54,02,"BD,",NB,20240708,0,,,,20240708,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240708,153014,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240708,1,54,0,0
600,4500108125,00020,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240529,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,Pasaj Lim-Areq-Lim 25.06 /Madeleine Rodr,1,UA,20240619,66,USD,66,3.75,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,66,66,T001,,66,02,"BD,",NB,20240708,0,,,,20240708,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240708,153014,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240708,1,66,0,0
600,4500108125,00030,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240529,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,TUUA Lima-Arequiipa 03.06/Eugenia Quisp,1,UA,20240619,12.47,USD,12.47,3.75,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,12.47,12.47,T001,,12.47,02,"BD,",NB,20240708,0,,,,20240708,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240708,153014,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240708,1,12.47,0,0
600,4500108125,00040,0000000010,000000000001001074,ADMINISTRATIVOS,ADMINISTRACIÓN,VIAJES,T02,Compras Delegadas,F,Pedido estándar,20240529,2034184135,LATAM AIRLINES PERU S.A.,PISCO SUR,,K,Servicio,Z295,Pasajes Nacionales,,TUUA Lim-Areq-Lim 25.06 /Madeleine Rodr,1,UA,20240619,19.5,USD,19.5,3.75,1,263,Serv. de Viajes,007,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TPSU,,EQUISPE,Z007,Plazo 7  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,19.5,19.5,T001,,19.5,02,"BD,",NB,20240708,0,,,,20240708,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,20240708,153014,,,ENVIADO,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20240708,1,19.5,0,0
600,4500109448,00010,0000000000,,,,,T50,Compras Abastecimi,F,Pedido de Servicios,20240819,2060407040,Q UMA SOLUCIONES GASTRONOMICAS S.A.,TASA CALLAO NORTE,,K,Servicio,,,,Break- evento de integración,1,UA,20240820,200,PEN,200,1,1,267,Serv. Para personal,020,T50,Compras Abastecimi,53.36,TA10,Tecnológica de Alimentos,TCNO,L001,ASOTO,Z020,Plazo 20  dias,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,Pendiente,,,,0,200,53.36,T150,,53.36,,,ZSER,,0,,,,20240819,,,,00000,,,,,,,,,00000,,,,,,,,000000,,,POR ENVIAR,T01-Estánd,02 - ACTIVO,,0,0,0,0
600,5010000006,00010,0000000010,000000000001001156,ADMINISTRATIVOS,ADMINISTRACIÓN,SERVICIOS DE OFICINA,T02,Compras Delegadas,F,Pedido estándar,20190916,0000000826,A & M SEGURIDAD Y SUPERVIVEN EN EL,TASA CALLAO NORTE,,K,Servicio,Z131,Otros Srv. Prestado Terc.,,TASA TOPICO EQUIPOS RESUCITADORES,1,UA,20190916,67.7,USD,23.54,3.318,1,294,Serv. Varios Adminis,045,T02,Compras Delegadas,67.7,TA10,Tecnológica de Alimentos,TCNO,,JOGUZMAN,Z045,Plazo 45  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,Aprobado por EM,,,,0,23.54,23.54,T001,,23.54,02,"BD,",NB,20190916,0,,,,20190916,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,,000000,,ANSUMAR COTIZACION,POR ENVIAR,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20190927,1,67.7,67.7,0
600,5010000006,00010,0000000020,000000000001001156,ADMINISTRATIVOS,ADMINISTRACIÓN,SERVICIOS DE OFICINA,T02,Compras Delegadas,F,Pedido estándar,20190916,0000000826,A & M SEGURIDAD Y SUPERVIVEN EN EL,TASA CALLAO NORTE,,K,Servicio,Z131,Otros Srv. Prestado Terc.,,TASA TOPICO EQUIPOS RESUCITADORES,1,UA,20190916,67.7,USD,32.78,3.318,1,294,Serv. Varios Adminis,045,T02,Compras Delegadas,0,TA10,Tecnológica de Alimentos,TCNO,,JOGUZMAN,Z045,Plazo 45  días,,,00000,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,Aprobado por EM,,,,0,32.78,32.78,T001,,32.78,02,"BD,",NB,20190916,0,,,,20190916,Liberado total Exsa,,,00000,,,8,,,,,,00000,,,,,,,,000000,,ANSUMAR COTIZACION,POR ENVIAR,T02-Regula,05 - LIBERACIÓN CONCLUIDA,20190927,1,67.7,67.7,0
