MANDT,KOKRS,GJAHR,CORREL,PERIO,BLDAT,USNAM,KSTAR,KOSTL,WRGSUM,WRG001,WRG002,WRG003,WRG004,WRG005,WRG006,WRG007,WRG008,WRG009,WRG010,WRG011,WRG012,WRFSUM,WOFSUM,WTFSUM,TWAER,BELNR,RWAER,OWAER,KWAER,OBJID,VRGNG,WKG001,WKG002,WKG003,WKG004,WKG005,WKG006,WKG007,WKG008,WKG009,WKG010,WKG011,WKG012,WOG001,WOG002,WOG003,WOG004,WOG005,WOG006,WOG007,WOG008,WOG009,WOG010,WOG011,WOG012,WOGSUM,WTG001,WTG002,WTG003,WTG004,WTG005,WTG006,WTG007,WTG008,WTG009,WTG010,WTG011,WTG012,WTGSUM
600,1711,2020,0000000001,009,20190927,NBENTIN,0065301003,3011100001,60,5,5,5,5,5,5,5,5,5,5,5,5,60,199.8,199.8,PEN,6000000500,USD,PEN,USD,3011100001,RKP1,5,5,5,5,5,5,5,5,5,5,5,5,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,199.8,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,199.8
600,1711,2020,0000000002,009,20190927,NBENTIN,0061330112,3011100001,135,0,0,45,0,0,45,0,0,45,0,0,0,135,449.55,449.55,PEN,6000000501,USD,PEN,USD,3011100001,RKP1,0,0,45,0,0,45,0,0,45,0,0,0,0,0,149.85,0,0,149.85,0,0,149.85,0,0,0,449.55,0,0,149.85,0,0,149.85,0,0,149.85,0,0,0,449.55
600,1711,2020,0000000003,009,20190927,NBENTIN,0061330108,3011100001,25.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,25.2,83.88,83.88,PEN,6000000502,USD,PEN,USD,3011100001,RKP1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,83.88,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,83.88
600,1711,2020,0000000004,009,20190927,NBENTIN,0063401039,3011100001,1200,100,100,100,100,100,100,100,100,100,100,100,100,1200,3996,3996,PEN,6000000503,USD,PEN,USD,3011100001,RKP1,100,100,100,100,100,100,100,100,100,100,100,100,333,333,333,333,333,333,333,333,333,333,333,333,3996,333,333,333,333,333,333,333,333,333,333,333,333,3996
600,1711,2020,0000000005,009,20190927,NBENTIN,0063210149,3011100001,7000,0,0,0,0,500,5500,0,500,0,500,0,0,7000,23310,23310,PEN,6000000504,USD,PEN,USD,3011100001,RKP1,0,0,0,0,500,5500,0,500,0,500,0,0,0,0,0,0,1665,18315,0,1665,0,1665,0,0,23310,0,0,0,0,1665,18315,0,1665,0,1665,0,0,23310
600,1711,2020,0000000006,009,20190927,NBENTIN,0064501003,3011100001,500,42,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,42,500,1665.02,1665.02,PEN,6000000505,USD,PEN,USD,3011100001,RKP1,42,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,42,139.86,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,139.86,1665.02,139.86,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,138.53,139.86,1665.02
600,1711,2020,0000000007,009,20190927,NBENTIN,0065101001,3011100001,750,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,750,2497.56,2497.56,PEN,6000000506,USD,PEN,USD,3011100001,RKP1,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,2497.56,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,208.13,2497.56
600,1711,2020,0000000008,009,20190927,NBENTIN,0065101016,3011100001,30,0,0,0,0,0,0,0,0,0,30,0,0,30,99.9,99.9,PEN,6000000507,USD,PEN,USD,3011100001,RKP1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,99.9,0,0,0,0,0,0,0,0,0,99.9,0,0,99.9
600,1711,2020,0000000009,009,20190927,NBENTIN,0065101022,3011100001,7824,652,652,652,652,652,652,652,652,652,652,652,652,7824,26053.92,26053.92,PEN,6000000508,USD,PEN,USD,3011100001,RKP1,652,652,652,652,652,652,652,652,652,652,652,652,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,26053.92,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,2171.16,26053.92
600,1711,2020,0000000010,009,20190927,NBENTIN,0065401014,3011100001,12000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,39960,39960,PEN,6000000509,USD,PEN,USD,3011100001,RKP1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,39960,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,39960
