BANFN,BNFPO,TIPO_SOLPED,FRGKZ,FRGDT,LFDAT,ERNAM,AFNAM,NAME_TEXT,ZAFNAM,TXZ01,VALDOL,PTEXT,BLCKD,BLCKT,KOSTL,PS_PSP_PNR,AUFNR,WERKS,NCENTRO,EBELN,EBELP,IDEBELN,STATUSOC,EKGRP_RESP,LIFNR2,NAME1,BEDAT,FECLIB,VPEDIDOD,PROCSTAT_T,LZVON,ZZEMBAR,DIASLIBRES,DIASGENSOLP,DIASLIBSOLP,DIASNECUSU,DIASGENOC,DIASLIBOC,ELIKZ,HES_S,LOEKZ_S
0015253316,00030,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T111LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023110008,00000000,,TMAT,MATARANI,5010001224,00070,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190905,,,,3,3,4,2,,100,
0015253316,00040,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T220LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023110002,00000000,,TMAT,MATARANI,5010001224,00060,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190909,,,,3,3,4,2,,100,
0015253316,00050,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 17LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023110001,00000000,,TMAT,MATARANI,5010001224,00050,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190911,,,,3,3,4,2,,100,
0015253316,00060,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T426LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023130010,00000000,,TMAT,MATARANI,5010001224,00040,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190906,,,,3,3,4,2,,100,
0015253316,00070,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 22LB(T1)CHI-SUR-MT,206.61,Servicio,,,3023130011,00000000,,TMAT,MATARANI,5010001224,00030,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,207.16,Liberación concluida,20190910,,,,3,3,4,2,,100,
0015253316,00080,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T416DB(T4)CHI-SUR-MT,354.19,Servicio,,,3023120009,00000000,,TMAT,MATARANI,5010001224,00020,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,355.13,Liberación concluida,20190829,,,,3,3,4,2,,100,
0015253316,00090,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T411DB(T4)CHI-SUR-MT,354.19,Servicio,,,3023120011,00000000,,TMAT,MATARANI,5010001224,00010,@0P@,,T79-Comp.GBerna,0000028706,SERVIMANEF E.I.R.L.,20191010,20191012,355.13,Liberación concluida,20190824,,,,3,3,4,2,,100,
0015253336,00010,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T 37DB(T4)CHI-CN-CO,354.19,Servicio,,,3023130001,00000000,,TCNO,TASA CALLAO NORTE,5010001312,00170,@0P@,,T79-Comp.GBerna,2051397312,SISMAGEN S.A.C.,20191011,20191022,357.04,Liberación concluida,20190819,,,,3,3,5,11,,100,
0015253336,00020,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T310DB(T4)CHI-CN-CO,354.19,Servicio,,,3023110004,00000000,,TCNO,TASA CALLAO NORTE,5010001312,00190,@0P@,,T79-Comp.GBerna,2051397312,SISMAGEN S.A.C.,20191011,20191022,357.04,Liberación concluida,20190820,,,,3,3,5,11,,100,
0015253336,00030,COMPRAS,L,20191006,20191009,MTENORIO,T042,CALIDAD_PESCA,CALIDAD PESCA,T413DB(T5)CHI-CN-CO,472.26,Servicio,,,3023120008,00000000,,TCNO,TASA CALLAO NORTE,5010001312,00200,@0P@,,T79-Comp.GBerna,2051397312,SISMAGEN S.A.C.,20191011,20191022,476.05,Liberación concluida,20190822,,,,3,3,5,11,,100,
