MANDT,VBELN,GJAHR,ETAPA,ZZFNADE,TIEMPO,VKORG,VTWEG,SPART,AUART,ZZSBK,ZZBKE,ZZLTE,ZZEEN,ZZEAP,ZZFLE,BSTNK,NAME1S,NAME1S_C,DMERC,DMERC_C,DFACT_C,DFACT,MAKTX,INCO1,MATKL,ZTERM,KWMENG,WAERS,NETWR,FCARG,FARRI,NNAVE,NAME1N,NBOOK,NAME1,PTOEM,PAORI,DESTI,PADES,DESCR,NAME1R,NAME1RS,WERKS,KZWI2,ZZNCONT,BL,SDABW,OLNAME1,BRNAME1,FPTEXT1,ZZNDOCU,STOCK_PL,FLETE_UN,TOLER,TM_ASIG,ASIGNADO,DIF_FCFS,DIF_FEFS,ERDAT,AEDAT1,DIF_FAFC,AEDAT2,DIF_FCFA,FEC_ULTG,DIF_FCFU,ZZFCARG,DIF_FCFC,ZZFARRI,DIF_FEFC,AEDAT4,DIF_FLFC,FSALME,FEC_CFACD,DIF_FFFS,MATNR,BSTDK
600,50000189  ,2023,80FA,20191031,37,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-3A5,PAN GROBEST TRADING CO. LTD.,3000003066,FUZHOU HAIMA FEED CO. LTD,3000002961,3000002961,FUZHOU HAIMA FEED CO. LTD,HARINA STEAM DRIED SUPER PRIME,CFR,FER-TAS01,ZCNC,291.35,USD,466160,20190919,20190926,MIRAMARIN V.0432-003W,,8031073450,,Callao,Perú,Fuqing,China,SACOS SLINGADOS / CONTR 40,FRANCA BRISSOLESE,MARIELA GSTIR,TCNO,463246.5,12,COSU8031073450,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",10.297,+5.0,305.92,164.85,00000000,00000000,20190913,20190924,00010112,20190925,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190925,00010107,20190926,20190927,00010102,50003943,20190910
600,50000189  ,2024,80FA,20191031,37,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-3A5,GROBEST GROUP LIMITED,3000003066,FUZHOU HAIMA FEED CO. LTD,3000002961,3000002961,FUZHOU HAIMA FEED CO. LTD,HARINA STEAM DRIED SUPER PRIME,CFR,FER-TAS01,ZCNC,291.35,USD,466160,20190919,20190926,MIRAMARIN V.0432-003W,,8031073450,,Callao,Perú,Fuqing,China,SACOS SLINGADOS / CONTR 40,FRANCA BRISSOLESE,MARIELA GSTIR,TCNO,463246.5,12,COSU8031073450,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",10.297,+5.0,305.92,164.85,00000000,00000000,20190913,20190924,00010112,20190925,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190925,00010107,20190926,20190927,00010102,50003943,20190910
600,50000189  ,2025,80FA,20191031,37,TAVG,EX,HP,ZTAE,X,X,,X,X,X,HPE-19-0139-3A5,GROBEST GROUP LIMITED,3000003066,FUZHOU HAIMA FEED CO. LTD,3000002961,3000002961,FUZHOU HAIMA FEED CO. LTD,HARINA STEAM DRIED SUPER PRIME,CFR,FER-TAS01,ZCNC,291.35,USD,466160,20190919,20190926,MIRAMARIN V.0432-003W,,8031073450,,Callao,Perú,Fuqing,China,SACOS SLINGADOS / CONTR 40,FRANCA BRISSOLESE,MARIELA GSTIR,TCNO,463246.5,12,COSU8031073450,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,GROBEST GROUP LIMITED,Carta de Credito a la vista no Confirmada,CAD 30 DAYS,"TCNO,TCNO",10.297,+5.0,305.92,164.85,00000000,00000000,20190913,20190924,00010112,20190925,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190925,00010107,20190926,20190927,00010102,50003943,20190910
600,50000190  ,2022,80FA,20191127,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C3,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.535,USD,357012.38,20190920,20190927,CISNES 017W NW1,,TMTM387021,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JHAJAIRA MARIN,MARIELA GSTIR,TCNO,353254.35,13,HDMU PEJP1906997,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.838,+5.0,263.06,199.8,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190927,00010108,20190927,20190930,00010104,50003940,20191015
600,50000190  ,2023,80FA,20191127,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C3,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.535,USD,357012.38,20190920,20190927,CISNES 017W NW1,,TMTM387021,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JHAJAIRA MARIN,MARIELA GSTIR,TCNO,353254.35,13,HDMU PEJP1906997,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.838,+5.0,263.06,199.8,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190927,00010108,20190927,20190930,00010104,50003940,20191015
600,50000190  ,2024,80FA,20191127,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C3,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.535,USD,357012.38,20190920,20190927,CISNES 017W NW1,,TMTM387021,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JHAJAIRA MARIN,MARIELA GSTIR,TCNO,353254.35,13,HDMU PEJP1906997,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.838,+5.0,263.06,199.8,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190927,00010108,20190927,20190930,00010104,50003940,20191015
600,50000190  ,2025,80FA,20191127,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C3,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.535,USD,357012.38,20190920,20190927,CISNES 017W NW1,,TMTM387021,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JHAJAIRA MARIN,MARIELA GSTIR,TCNO,353254.35,13,HDMU PEJP1906997,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.838,+5.0,263.06,199.8,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010108,20190927,00010108,20190927,20190930,00010104,50003940,20191015
600,50000193  ,2022,80FA,20191108,49,TAVG,EX,HP,ZTAE,X,X,X,X,X,X,HPE-19-0131-A,"SANTU KOKUSAI SYOJI CO.,LTD",3000003091,THREE PATHS CORPORATION,3000003148,3000003148,THREE PATHS CORPORATION,HARINA STEAM DRIED SUPER PRIME,CIF,FER-TAS01,ZA30,309.47,USD,498865.64,20190917,20190922,COSCO MALAYSIA 071W,,8031077820,,Callao,Perú,Qingdao,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,495152,12,COSU8031077820,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,,30% adelantado 70% CADF,30PCT PREPAID,"TCHI,TCNO",5.816,+5.0,324.94,159.1,00000000,00000000,20190913,20190923,00010111,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010106,20190927,00010111,20190922,20190928,00010107,50003943,20190930
600,50000193  ,2023,80FA,20191108,49,TAVG,EX,HP,ZTAE,X,X,X,X,X,X,HPE-19-0131-A,"SANTU KOKUSAI SYOJI CO.,LTD",3000003091,THREE PATHS CORPORATION,3000003148,3000003148,THREE PATHS CORPORATION,HARINA STEAM DRIED SUPER PRIME,CIF,FER-TAS01,ZA30,309.47,USD,498865.64,20190917,20190922,COSCO MALAYSIA 071W,,8031077820,,Callao,Perú,Qingdao,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,495152,12,COSU8031077820,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,,30% adelantado 70% CADF,30PCT PREPAID,"TCNO,TCNO",5.816,+5.0,324.94,159.1,00000000,00000000,20190913,20190923,00010111,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010106,20190927,00010111,20190922,20190928,00010107,50003943,20190930
600,50000193  ,2024,80FA,20191108,49,TAVG,EX,HP,ZTAE,X,X,X,X,X,X,HPE-19-0131-A,"SANTU KOKUSAI SYOJI CO.,LTD",3000003091,THREE PATHS CORPORATION,3000003148,3000003148,THREE PATHS CORPORATION,HARINA STEAM DRIED SUPER PRIME,CIF,FER-TAS01,ZA30,309.47,USD,498865.64,20190917,20190922,COSCO MALAYSIA 071W,,8031077820,,Callao,Perú,Qingdao,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,495152,12,COSU8031077820,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,,30% adelantado 70% CADF,30PCT PREPAID,"TCNO,TCNO",5.816,+5.0,324.94,159.1,00000000,00000000,20190913,20190923,00010111,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010106,20190927,00010111,20190922,20190928,00010107,50003943,20190930
600,50000193  ,2025,80FA,20191108,49,TAVG,EX,HP,ZTAE,X,X,X,X,X,X,HPE-19-0131-A,"SANTU KOKUSAI SYOJI CO.,LTD",3000003091,THREE PATHS CORPORATION,3000003148,3000003148,THREE PATHS CORPORATION,HARINA STEAM DRIED SUPER PRIME,CIF,FER-TAS01,ZA30,309.47,USD,498865.64,20190917,20190922,COSCO MALAYSIA 071W,,8031077820,,Callao,Perú,Qingdao,China,SACOS SLINGADOS / CONTR 40,SARA ARANA REYES,MARILU AMPUERO,TCNO,495152,12,COSU8031077820,FLIC,TERMINALES PORTUARIOS PERUANOS SAC,,30% adelantado 70% CADF,30PCT PREPAID,"TCNO,TCNO",5.816,+5.0,324.94,159.1,00000000,00000000,20190913,20190923,00010111,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010106,20190927,00010111,20190922,20190928,00010107,50003943,20190930
600,50000194  ,2022,80FA,20191204,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C4,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.72,USD,357276,20190924,20191003,CORCOVADO V.023W,,TMTM387022,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JULY DIAZ,MARIELA GSTIR,TCNO,353515.2,13,HDMUPEJP1907995,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TPSU,TCNO",19.823,+5.0,263.26,249.7,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010110,20190930,00010107,20191003,20191007,00010105,50003940,20191015
600,50000194  ,2023,80FA,20191204,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C4,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.72,USD,357276,20190924,20191003,CORCOVADO V.023W,,TMTM387022,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JULY DIAZ,MARIELA GSTIR,TCNO,353515.2,13,HDMUPEJP1907995,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.823,+5.0,263.26,249.7,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010110,20190930,00010107,20191003,20191007,00010105,50003940,20191015
600,50000194  ,2024,80FA,20191204,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C4,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.72,USD,357276,20190924,20191003,CORCOVADO V.023W,,TMTM387022,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JULY DIAZ,MARIELA GSTIR,TCNO,353515.2,13,HDMUPEJP1907995,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.823,+5.0,263.26,249.7,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010110,20190930,00010107,20191003,20191007,00010105,50003940,20191015
600,50000194  ,2025,80FA,20191204,63,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0108-C4,KANEMATSU CORPORATION,3000003015,KANEMATSU CORPORATION,3000003015,3000003015,KANEMATSU CORPORATION,HARINA STEAM DRIED STANDAR 66,CFR,FER-TAS01,ZCNC,250.72,USD,357276,20190924,20191003,CORCOVADO V.023W,,TMTM387022,,Callao,Perú,Shibushi,Japón,SACOS / CONT / 20,JULY DIAZ,MARIELA GSTIR,TCNO,353515.2,13,HDMUPEJP1907995,FLIC,INVERS.MARITIMAS UNIVERSALES PERU S.A,PROFISH TRADING SAC,Carta de Credito a la vista no Confirmada,E289498,"TCNO,TCNO",19.823,+5.0,263.26,249.7,00000000,00000000,20190913,20190926,00010114,20190926,00000000,00000000,00000000,00000000,00000000,00000000,00010110,20190930,00010107,20191003,20191007,00010105,50003940,20191015
600,50000197  ,2022,80FA,20191106,43,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0187-A,GREAT WALL ENTERPRISE CO. LTD.,3000003593,GREAT WALL ENTERPRISE CO. LTD.,3000003593,3000003593,GREAT WALL ENTERPRISE CO. LTD.,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,104.56,USD,136450.8,20190918,20190926,LOUISIANA TRADER V.0833-188N,,751900048882,,Matarani,Perú,Kaohsiung,Taiwan,SACOS SLINGADOS / CONTR 40,FRANCA BRISSOLESE,MARIELA GSTIR,TMAT,135405.2,4,EGLV 751900048882,FLIC,TRABAJOS MARITIMOS S.A.,MSICERES SAC,Carta de Credito a la vista no Confirmada,E289689,"TMAT,TMAT",33.282,+4.0,108.74,54,00000000,00000000,20190913,20190924,00010112,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190928,00010111,20190926,20190930,00010105,50003937,20191010
600,50000197  ,2023,80FA,20191106,43,TAVG,EX,HP,ZTAE,X,X,,,,X,HPE-19-0187-A,GREAT WALL ENTERPRISE CO. LTD.,3000003593,GREAT WALL ENTERPRISE CO. LTD.,3000003593,3000003593,GREAT WALL ENTERPRISE CO. LTD.,HARINA STEAM DRIED PRIME,CFR,FER-TAS01,ZCNC,104.56,USD,136450.8,20190918,20190926,LOUISIANA TRADER V.0833-188N,,751900048882,,Matarani,Perú,Kaohsiung,Taiwan,SACOS SLINGADOS / CONTR 40,FRANCA BRISSOLESE,MARIELA GSTIR,TMAT,135405.2,4,EGLV 751900048882,FLIC,TRABAJOS MARITIMOS S.A.,MSICERES SAC,Carta de Credito a la vista no Confirmada,E289689,"TMAT,TMAT",33.282,+4.0,108.74,54,00000000,00000000,20190913,20190924,00010112,20190924,00000000,00000000,00000000,00000000,00000000,00000000,00010109,20190928,00010111,20190926,20190930,00010105,50003937,20191010
