WORKORDERID,CHANGEDATE,SITEID,PARENT,TASKID,WONUM,DESCRIPTION,ESTDUR,SLXACTDUR,SLXAVANCE,STATUS,SLXALMACEN,SLXFECHAREQ,VENDOR,TARGSTARTDATE,TARGCOMPDATE,SCHEDSTART,SCHEDFINISH,ACTSTART,ACTFINISH,HASLABOR,HASMATERIAL,HASSERVICE,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5,SLXSCHEDDUR
694000,2025-12-20T18:45:06.166Z,PESCA,759205,10,759206,fuga de amoniaco por 01  válvula AKVA (proa) del chiller babor-251218121651/T056,0,0,100,COMP,TCHI,2025-12-18T12:16:00.000Z,2060471752,2025-12-18T12:16:00.000Z,2025-12-20T18:45:05.513Z,2025-12-18T12:16:00.000Z,2025-12-20T18:45:05.513Z,2025-12-20T18:45:05.513Z,2025-12-20T18:45:05.513Z,0,0,1,,,,,,,,,,0
694712,2025-12-20T18:44:14.330Z,PESCA,759917,10,759918,Cambiar carrete de halador de red-251220184036/T051,0,0,0,WAPPR,,2025-12-20T18:40:00.000Z,,2025-12-20T18:40:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694036,2025-12-20T18:43:07.333Z,PESCA,759241,10,759242,se requiere cambiar sello mecánico de la bomba RSW centro-251218145409/T056,0,0,100,COMP,TCHI,2025-12-18T14:54:00.000Z,2056917217,2025-12-18T14:54:00.000Z,2025-12-20T18:43:06.486Z,2025-12-18T14:54:00.000Z,2025-12-20T18:43:06.486Z,2025-12-20T18:43:06.486Z,2025-12-20T18:43:06.486Z,0,0,1,,,,,,,,,,0
694040,2025-12-20T18:40:29.726Z,PESCA,759245,10,759246,Llave termica de 20 A de equipos electronicos presenta falla -251218150218/T059,0,0,100,COMP,TCHI,2025-12-18T04:00:00.000Z,2054799624,2025-12-18T04:00:00.000Z,2025-12-20T18:40:28.800Z,2025-12-18T04:00:00.000Z,2025-12-20T18:40:28.800Z,2025-12-20T18:40:28.800Z,2025-12-20T18:40:28.800Z,0,0,1,,,,,,,,,,0
694710,2025-12-20T18:40:28.820Z,PESCA,759915,10,759916,Cambiar electrovalvula  de accionamiento del pitó de niebla -251220183419/T051,0,0,0,WAPPR,,2025-12-20T18:34:00.000Z,,2025-12-20T18:34:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694708,2025-12-20T18:35:49.403Z,PESCA,759913,10,759914,Veda 1-2026 Sist.Hidrau.fuga de aceite por el filtro de succión.-251220182125/T416,0,0,0,WAPPR,TCNO,2026-02-21T18:21:00.000Z,,2025-12-20T18:21:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694702,2025-12-20T18:34:36.486Z,PESCA,759907,10,759908,"Veda 1 2026, Sistema Gobierno , Reparación o cambio de bomba V20.-251220180850/T416",0,0,0,WAPPR,TCNO,2026-01-10T18:08:00.000Z,,2025-12-20T18:08:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694706,2025-12-20T18:33:57.236Z,PESCA,759911,10,759912,Veda 1-2026 Sistema Gobierno auxiliar. Reparación de la bomba.Wagner.-251220181423/T416,0,0,0,WAPPR,TCNO,2026-03-20T18:14:00.000Z,,2025-12-20T18:14:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694704,2025-12-20T18:19:32.513Z,PLANTA,759909,10,759910,SONIDO EXTRAÑO EN MOTOR DE BBA TK AGUA DE DESPLAZAMIENTO A APROFERROL-251206151435/TCHI,0,0,100,APPR,TCHI,2025-12-07T18:16:51.000Z,2060108796,,,,,,,0,0,1,,,,,,,,,,0
694054,2025-12-20T18:15:45.766Z,PESCA,759259,10,759260,"solicita reparar, roturas, picaduras en lateral del corcho y cenefa.-251218155359/T057",0,0,0,CAN,,2025-12-18T15:30:00.000Z,,2025-12-18T15:30:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694698,2025-12-20T18:11:20.376Z,PLANTA,759903,10,759904,MAQUINADO DE ALOJAMIENTO DE RODAMIENTOS BBA AGUA DE LIMPIEZA #2,0,0,100,APPR,TCHI,2025-12-07T18:07:51.000Z,2060108796,,,,,,,0,1,1,,,,,,,,,,0
694700,2025-12-20T18:10:33.880Z,PESCA,759905,10,759906,"Veda-1 2026 Motor Auxiliar 01, Cambio de tanque de expansión.-251220180401/T416",0,0,0,WAPPR,TCNO,2025-12-20T18:04:00.000Z,,2025-12-20T18:04:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694652,2025-12-20T18:08:45.966Z,PESCA,759857,10,759858,T428 Fabricar base de control de válvulas bodega,0,0,100,COMP,TPSU,2025-12-20T14:26:00.000Z,2061067449,2025-12-20T14:26:00.000Z,2025-12-20T18:08:45.246Z,2025-12-20T14:26:00.000Z,2025-12-20T18:08:45.246Z,2025-12-20T18:08:45.246Z,2025-12-20T18:08:45.246Z,0,0,1,,,,,,,,,,0
694696,2025-12-20T18:06:51.813Z,PESCA,759901,10,759902,"Veda-1 2026 Cambio de campana de la cocina , acumula micha grasa, sucied-251220175830/T416",0,0,0,WAPPR,TCNO,2026-02-07T17:58:00.000Z,,2025-12-20T17:58:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694692,2025-12-20T18:04:58.486Z,PESCA,759897,10,759898,"Veda-1.2026.Anular portafiltro auxiliar del Motor Ppal, por tener pase.-251220175259/T416",0,0,0,WAPPR,TCNO,2026-02-06T17:52:00.000Z,,2025-12-20T17:52:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694220,2025-12-20T18:04:56.110Z,PESCA,759425,10,759426,circuito de carga del sistema eléctrico de la panga-251218232239/P056,0,0,100,COMP,TCHI,2025-12-18T23:22:00.000Z,2060650981,2025-12-18T23:22:00.000Z,2025-12-20T18:04:55.410Z,2025-12-18T23:22:00.000Z,2025-12-20T18:04:55.410Z,2025-12-20T18:04:55.410Z,2025-12-20T18:04:55.410Z,0,0,1,,,,,,,,,,0
694222,2025-12-20T18:02:46.076Z,PESCA,759427,10,759428,desmontaje del variador de frecuencia de la bomba condenso-251219000213/T056,0,0,100,COMP,TCHI,2025-12-19T00:02:00.000Z,2060471752,2025-12-19T00:02:00.000Z,2025-12-20T18:02:45.376Z,2025-12-19T00:02:00.000Z,2025-12-20T18:02:45.376Z,2025-12-20T18:02:45.376Z,2025-12-20T18:02:45.376Z,0,0,1,,,,,,,,,,0
694694,2025-12-20T18:02:12.106Z,PESCA,759899,10,759900,PM T425 MC ADICIONAL 2000 H TWIN DISC MG-5600,16,30,100,APPR,TCNO,2025-12-27T18:00:01.000Z,2047349559,,,,,,,0,0,1,,,,,,,,,,0
694685,2025-12-20T17:58:07.910Z,PESCA,759890,10,759891,VEDA 1-26 LAVADO DE BODEGAS-251220170554/T428,0,0,0,CAN,,2025-12-20T17:05:00.000Z,,2025-12-20T17:05:00.000Z,,,,,,0,0,0,,,,,,,,,,0
694688,2025-12-20T17:53:53.396Z,PESCA,758529,20,759894,Confección de cremallera de 100 dientes para adujador de mangueras hidraulica,0,0,100,COMP,TCHI,2025-12-17T15:36:00.000Z,2056299793,2025-12-17T15:36:00.000Z,2025-12-20T17:53:52.703Z,2025-12-17T15:36:00.000Z,2025-12-20T17:53:52.703Z,2025-12-20T17:53:52.703Z,2025-12-20T17:53:52.703Z,0,0,1,,,,,,,,,,0
693324,2025-12-20T17:53:52.540Z,PESCA,758529,10,758530,"descanso de soporte del eje de carrete( chumacera), averiado-251217153620/T056",0,0,100,COMP,TCHI,2025-12-17T15:36:00.000Z,2060543789,2025-12-17T15:36:00.000Z,2025-12-20T17:53:51.823Z,2025-12-17T15:36:00.000Z,2025-12-20T17:53:51.823Z,2025-12-20T17:53:51.823Z,2025-12-20T17:53:51.823Z,0,0,1,,,,,,,,,,0
694690,2025-12-20T17:53:25.346Z,PLANTA,759895,10,759896,Fractura de eje de prestrainer #3A-251219090408/TCHI,0,0,100,APPR,TCHI,2025-12-20T17:51:45.000Z,2052649480,,,,,,,0,1,1,,,,,,,,,,0
