CHANGEDATE,SITEID,WONUM,LOCATION,ASSETNUM,CODE,STARTDATE,FINISHDATE,DOWNTIME,created_by,created_date,last_updated_by,last_updated_date,attribute1,attribute2,attribute3,attribute4,attribute5
2025-08-26T03:45:00.000Z,PLANTA,731352,TCHD0105-0101,300004304,,2025-08-26T03:15:00.000Z,2025-08-26T03:45:00.000Z,0.5,,,,,,,,,
2025-08-26T00:45:00.000Z,PLANTA,731350,TCHD0105-0303,300004403,,2025-08-26T00:25:00.000Z,2025-08-26T00:45:00.000Z,0.33333334,,,,,,,,,
2025-08-18T14:00:00.000Z,PLANTA,730023,TCHD0105-0608,300018692,,2025-08-18T13:30:00.000Z,2025-08-18T14:00:00.000Z,0.5,,,,,,,,,
2025-08-18T05:00:00.000Z,PLANTA,729466,TCHD0103-0405,300004299,,2025-08-18T05:00:00.000Z,2025-08-18T05:00:00.000Z,79.333336,,,,,,,,,
2025-08-14T01:20:00.000Z,PLANTA,729224,TCHD0105-0208,300004386,,2025-08-14T01:00:00.000Z,2025-08-14T01:20:00.000Z,0.33333334,,,,,,,,,
2025-08-07T13:00:00.000Z,PLANTA,727759,TCHD0105-0201,300004348,,2025-08-07T08:30:00.000Z,2025-08-07T13:00:00.000Z,4.5,,,,,,,,,
2025-08-05T10:00:00.000Z,PLANTA,727487,TCHD0105-0403,300004445,,2025-08-05T08:40:00.000Z,2025-08-05T10:00:00.000Z,1.3333334,,,,,,,,,
2025-08-03T03:10:00.000Z,PLANTA,726892,TCHD0105-0306,300004411,,2025-08-03T03:00:00.000Z,2025-08-03T03:10:00.000Z,0.16666667,,,,,,,,,
2025-08-03T00:30:00.000Z,PLANTA,726890,TCHD0105-0706,300018720,,2025-08-02T23:50:00.000Z,2025-08-03T00:30:00.000Z,0.6666667,,,,,,,,,
2025-08-02T23:15:00.000Z,PLANTA,726894,TCHD0105-0508,300018697,,2025-08-02T23:00:00.000Z,2025-08-02T23:15:00.000Z,0.25,,,,,,,,,
2025-07-24T18:45:00.000Z,PLANTA,725258,TMSU0103-1704,300024712,,2025-07-24T18:45:00.000Z,2025-07-24T18:45:00.000Z,1,,,,,,,,,
2025-07-24T14:40:00.000Z,PLANTA,725256,TMSU0202-0101,300024332,,2025-07-24T14:00:00.000Z,2025-07-24T14:40:00.000Z,0.6666667,,,,,,,,,
2025-07-24T12:00:00.000Z,PLANTA,725254,TMSU0202-0101,300024332,,2025-07-24T11:20:00.000Z,2025-07-24T12:00:00.000Z,0.6666667,,,,,,,,,
2025-07-23T10:08:00.000Z,PLANTA,724314,TPUC0301-0601,400031942,,2025-07-23T09:58:00.000Z,2025-07-23T10:08:00.000Z,0.16666667,,,,,,,,,
2025-07-22T14:00:00.000Z,PLANTA,724001,TMSU0103-1205,300026876,,2025-07-22T12:00:00.000Z,2025-07-22T14:00:00.000Z,2,,,,,,,,,
2025-07-19T22:00:00.000Z,PLANTA,722819,TMSU0108-0401,300006411,,2025-07-19T21:00:00.000Z,2025-07-19T22:00:00.000Z,1,,,,,,,,,
