atc_numero,atclog_usuario,atclog_motivo,atclog_fec_ini,atclog_fecha,atclog_dif_dias,atc_unenombre,atc_estado,atclog_estado
1076270,,Llenado de ATC,2025-08-21T07:26:58.343Z,2025-08-21T10:34:25.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076263,,Llenado de ATC,2025-08-21T01:31:39.510Z,2025-08-21T08:38:25.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076260,,Llenado de ATC,2025-08-21T01:12:04.080Z,2025-08-21T08:57:43.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076256,,Llenado de ATC,2025-08-21T00:48:58.786Z,2025-08-21T08:48:28.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076198,lsarrin,Primera aprobación,2025-08-20T11:02:29.000Z,2025-08-20T13:08:32.000Z,0,PESCA,Pend.1ra.aprob.,Pend.2da.aprob.
1076198,,Llenado de ATC,2025-08-20T06:55:13.513Z,2025-08-20T11:02:29.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076197,,Llenado de ATC,2025-08-20T06:52:31.853Z,2025-08-20T09:26:21.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076196,,Llenado de ATC,2025-08-20T06:49:55.823Z,2025-08-20T09:54:51.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076195,,Llenado de ATC,2025-08-20T06:34:37.343Z,2025-08-20T08:46:28.000Z,0,PESCA,Pend.1ra.aprob.,Pend.1ra.aprob.
1076194,,Llenado de ATC,2025-08-20T04:13:40.113Z,2025-08-20T11:44:18.000Z,0,PLANTA,Aprobado,Pend.1ra.aprob.
1076193,,Llenado de ATC,2025-08-20T04:05:41.110Z,2025-08-20T11:49:08.000Z,0,PLANTA,Aprobado,Pend.1ra.aprob.
1076192,,Llenado de ATC,2025-08-20T03:59:07.606Z,2025-08-20T11:53:21.000Z,0,PLANTA,Aprobado,Pend.1ra.aprob.
